name,hp,attack,block,contact,defense,speed
ニダンギル,59,110,150,45,49,35
ギルガルド盾,60,50,150,50,150,60
ギルガルド剣,60,150,50,150,50,60
シュシュプ,78,52,60,63,65,23
フレフワン,101,72,72,99,89,29
ペロッパフ,62,48,66,59,57,49
ペロリーム,82,80,86,85,75,72
マーイーカ,53,54,53,37,46,45
カラマネロ,86,92,88,68,75,73
カメテテ,42,52,67,39,56,50
ガメノデス,72,105,115,54,86,68
クズモー,50,60,60,60,60,30
ドラミドロ,65,75,90,97,123,44
ウデッポウ,50,53,62,58,63,44
ブロスター,71,73,88,120,89,59
エリキテル,44,38,33,61,43,70
エレザード,62,55,52,109,94,109
チゴラス,58,89,77,45,45,48
ガチゴラス,82,121,119,69,59,71
アマルス,77,59,50,67,63,46
アマルルガ,123,77,72,99,92,58
ニンフィア,95,65,65,110,130,60
ルチャブル,78,92,75,74,63,118
デデンネ,67,58,57,81,67,101
メレシー,50,50,150,50,150,50
ヌメラ,45,50,35,55,75,40
ヌメイル,68,75,53,83,113,60
ヌメルゴン,90,100,70,110,150,80
クレッフィ,57,80,91,80,87,75
ボクレー,43,70,48,50,60,38
オーロット,85,110,76,65,82,56
バケッチャ,49,66,70,44,55,51
バケッチャ小,44,66,70,44,55,56
バケッチャ大,54,66,70,44,55,46
バケッチャ特大,59,66,70,44,55,41
パンプジン,65,90,122,58,75,84
パンプジン小,55,85,122,58,75,99
パンプジン大,75,95,122,58,75,69
パンプジン特大,85,100,122,58,75,54
カチコール,55,69,85,32,35,28
クレベース,95,117,184,44,46,28
オンバット,40,30,35,45,40,55
オンバーン,85,70,80,97,80,123
ゼルネアス,126,131,95,131,98,99
イベルタル,126,131,95,131,98,99
ジガルデ,108,100,121,81,95,95
ディアンシー,50,100,150,100,150,50
メガディアンシー,50,160,110,160,110,110
フーパ(戒め),80,110,60,150,130,70
フーパ(解放),80,160,60,170,130,80
ボルケニオン,80,110,120,130,90,70
